"","standage","yhat","yhat_mean","yhat_lower","yhat_upper","group","trait","variable","rsq"
"1",0,-0.599882221048227,-0.599882221048227,-0.980467725064279,0.0964120859954391,"Cold Temperatures (Lower 25%)","wood_density","Temperature (PC)",0.609601190124844
"2",3,-0.596069577838738,-0.596069577838738,-0.972804117661402,0.102831746379606,"Cold Temperatures (Lower 25%)","wood_density","Temperature (PC)",0.609601190124844
"3",6,-0.611580716132933,-0.611580716132933,-0.999140422020992,0.117948597036472,"Cold Temperatures (Lower 25%)","wood_density","Temperature (PC)",0.609601190124844
"4",9,-0.643013523727698,-0.643013523727698,-1.05251663137668,0.143195160464724,"Cold Temperatures (Lower 25%)","wood_density","Temperature (PC)",0.609601190124844
"5",12,-0.647664528810278,-0.647664528810278,-1.07028801040141,0.202097305983499,"Cold Temperatures (Lower 25%)","wood_density","Temperature (PC)",0.609601190124844
"6",15,-0.653224186657858,-0.653224186657858,-1.08747125306094,0.201964874311983,"Cold Temperatures (Lower 25%)","wood_density","Temperature (PC)",0.609601190124844
"7",18,-0.65500304784815,-0.65500304784815,-1.0943438761564,0.199477331075451,"Cold Temperatures (Lower 25%)","wood_density","Temperature (PC)",0.609601190124844
"8",21,-0.655379968203661,-0.655379968203661,-1.09392097289861,0.179420845803341,"Cold Temperatures (Lower 25%)","wood_density","Temperature (PC)",0.609601190124844
"9",24,-0.656180178212181,-0.656180178212181,-1.09599067036588,0.166404914222992,"Cold Temperatures (Lower 25%)","wood_density","Temperature (PC)",0.609601190124844
"10",27,-0.659121480782244,-0.659121480782244,-1.09665738507968,0.143012565977953,"Cold Temperatures (Lower 25%)","wood_density","Temperature (PC)",0.609601190124844
"11",30,-0.658021491090336,-0.658021491090336,-1.09501921868828,0.124348941447583,"Cold Temperatures (Lower 25%)","wood_density","Temperature (PC)",0.609601190124844
"12",33,-0.656864403725414,-0.656864403725414,-1.09341022044119,0.10183227836674,"Cold Temperatures (Lower 25%)","wood_density","Temperature (PC)",0.609601190124844
"13",36,-0.656823783425346,-0.656823783425346,-1.08806939111879,0.0770874357437137,"Cold Temperatures (Lower 25%)","wood_density","Temperature (PC)",0.609601190124844
"14",39,-0.655169551535943,-0.655169551535943,-1.0831500591471,0.0705565375346897,"Cold Temperatures (Lower 25%)","wood_density","Temperature (PC)",0.609601190124844
"15",42,-0.653902766819134,-0.653902766819134,-1.06983831527293,-0.000540765170532978,"Cold Temperatures (Lower 25%)","wood_density","Temperature (PC)",0.609601190124844
"16",45,-0.651044136557057,-0.651044136557057,-1.06178723471192,-0.017084371877871,"Cold Temperatures (Lower 25%)","wood_density","Temperature (PC)",0.609601190124844
"17",48,-0.648272108544748,-0.648272108544748,-1.04856601140045,-0.0228685229481841,"Cold Temperatures (Lower 25%)","wood_density","Temperature (PC)",0.609601190124844
"18",51,-0.637958879317865,-0.637958879317865,-1.0457511823186,-0.0333549813377638,"Cold Temperatures (Lower 25%)","wood_density","Temperature (PC)",0.609601190124844
"19",54,-0.630395212996256,-0.630395212996256,-1.0389444795029,-0.0335319526140455,"Cold Temperatures (Lower 25%)","wood_density","Temperature (PC)",0.609601190124844
"20",57,-0.612661881595002,-0.612661881595002,-1.01463121927349,-0.0292093847311604,"Cold Temperatures (Lower 25%)","wood_density","Temperature (PC)",0.609601190124844
"21",60,-0.588661925239024,-0.588661925239024,-1.01349215070617,0.0204414637039669,"Cold Temperatures (Lower 25%)","wood_density","Temperature (PC)",0.609601190124844
"22",63,-0.562578143072135,-0.562578143072135,-1.02301704619093,0.147286099921284,"Cold Temperatures (Lower 25%)","wood_density","Temperature (PC)",0.609601190124844
"23",66,-0.539530728379098,-0.539530728379098,-1.01918220843866,0.282781284030367,"Cold Temperatures (Lower 25%)","wood_density","Temperature (PC)",0.609601190124844
"24",69,-0.533681263529542,-0.533681263529542,-1.02108832072329,0.313122038306368,"Cold Temperatures (Lower 25%)","wood_density","Temperature (PC)",0.609601190124844
"25",72,-0.525220269616728,-0.525220269616728,-1.02324325421848,0.367146709647854,"Cold Temperatures (Lower 25%)","wood_density","Temperature (PC)",0.609601190124844
"26",75,-0.520333218523236,-0.520333218523236,-1.0296320699174,0.382277514600758,"Cold Temperatures (Lower 25%)","wood_density","Temperature (PC)",0.609601190124844
"27",78,-0.518002566018105,-0.518002566018105,-1.03110341689558,0.384911330428362,"Cold Temperatures (Lower 25%)","wood_density","Temperature (PC)",0.609601190124844
"28",81,-0.51336139509251,-0.51336139509251,-1.03380337100632,0.392743522840495,"Cold Temperatures (Lower 25%)","wood_density","Temperature (PC)",0.609601190124844
"29",84,-0.510583327664258,-0.510583327664258,-1.03613808783661,0.397826179514597,"Cold Temperatures (Lower 25%)","wood_density","Temperature (PC)",0.609601190124844
"30",87,-0.513237584316496,-0.513237584316496,-1.0385667494529,0.405869632100012,"Cold Temperatures (Lower 25%)","wood_density","Temperature (PC)",0.609601190124844
"31",90,-0.515515266516852,-0.515515266516852,-1.04702003353933,0.401485580666682,"Cold Temperatures (Lower 25%)","wood_density","Temperature (PC)",0.609601190124844
"32",93,-0.517967284217909,-0.517967284217909,-1.0522602663833,0.399349886008487,"Cold Temperatures (Lower 25%)","wood_density","Temperature (PC)",0.609601190124844
"33",96,-0.52438898024045,-0.52438898024045,-1.05514212080318,0.386356170171056,"Cold Temperatures (Lower 25%)","wood_density","Temperature (PC)",0.609601190124844
"34",99,-0.534651925813543,-0.534651925813543,-1.05655949716851,0.344018050999209,"Cold Temperatures (Lower 25%)","wood_density","Temperature (PC)",0.609601190124844
